생존1,"1-Upper,2-Middle,3-Lower Class",,,본인을 제외한 형제 자매 배우자 인원,"본인을 제외한 부모,자식",지불 금액,+,+,+,,,탑승항구,+,,342,,,,,,,,,
survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,생존자 수,,생존자 수 ,1등급,남자,나이,본인 제외 0명,본인 제외 0명,,지불금액
0,3,male,22,1,0,7.25,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,342,216,577,20,608,678,,0
1,1,female,38,1,0,71.2833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,1,,사망자 수,2등급,여자,30,본인 제외 1명,본인 제외 1명,,70
1,3,female,26,0,0,7.925,S,Third,woman,FALSE,,Southampton,yes,TRUE,1,,549,184,314,20,209,118,,0
1,1,female,35,1,0,53.1,S,First,woman,FALSE,C,Southampton,yes,FALSE,1,,,3등급,,30,본인 제외 2명,본인 제외 2명,,50
0,3,male,35,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,491,,30,28,80,,0
0,3,male,,0,0,8.4583,Q,Third,man,TRUE,,Queenstown,no,TRUE,FALSE,,,491,,0,본인 제외 3명,본인 제외 3명,,0
0,1,male,54,0,0,51.8625,S,First,man,TRUE,E,Southampton,no,TRUE,FALSE,,,,,50,16,5,,50
0,3,male,2,3,1,21.075,S,Third,child,FALSE,,Southampton,no,FALSE,FALSE,,,,0대,0,본인 제외 4명,본인 제외 4명,0대,20
1,3,female,27,0,2,11.1333,S,Third,woman,FALSE,,Southampton,yes,FALSE,1,,,,246,20,18,4,343,10
1,2,female,14,1,0,30.0708,C,Second,child,FALSE,,Cherbourg,yes,FALSE,1,,,,10대,10,본인 제외 5명,본인 제외 5명,10대,30
1,3,female,4,1,1,16.7,S,Third,child,FALSE,G,Southampton,yes,FALSE,1,,,,102,0,5,5,179,10
1,1,female,58,0,0,26.55,S,First,woman,FALSE,C,Southampton,yes,TRUE,1,,,,20대,50,본인 제외 6명,본인 제외 6명,20대,20
0,3,male,20,0,0,8.05,S,Third,man,TRUE,,Southampton,no,TRUE,FALSE,,,,220,20,0,1,136,0
0,3,male,39,1,5,31.275,S,Third,man,TRUE,,Southampton,no,FALSE,FALSE,,,,30대,30,본인 제외 7명,본인 제외 7명,30대,30
0,3,female,14,0,0,7.8542,S,Third,child,FALSE,,Southampton,no,TRUE,FALSE,,,,167,10,0,0,64,0
1,2,female,55,0,0,16,S,Second,woman,FALSE,,Southampton,yes,TRUE,1,,,,40대,50,,,40대,10
0,3,male,2,4,1,29.125,Q,Third,child,FALSE,,Queenstown,no,FALSE,FALSE,,,,89,0,,,15,20
1,2,male,,0,0,13,S,Second,man,TRUE,,Southampton,yes,TRUE,1,,,,50대,0,,,50대,10
